numer_sta;date;pmer;tend;cod_tend;dd;vitesse_vent;temperature;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region
07015;20130101150000;101010.0;180.0;2.0;290.0;5.1;280.65;274.75;66.0;40000.0;2.0;1.0;1.0;25.0;2.0;800.0;32.0;23.0;10.0;100440.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1107.0;3100.0;nan;1.0;8.0;870.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101180000;101380.0;240.0;3.0;260.0;3.1;278.25;275.55;83.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100470.0;nan;nan;nan;277.95;nan;281.85;nan;nan;nan;nan;nan;4.6;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;0.0;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101180000;101260.0;240.0;3.0;260.0;3.6;277.05;274.45;83.0;40000.0;2.0;1.0;1.0;10.0;1.0;1250.0;35.0;20.0;10.0;100680.0;nan;nan;nan;277.05;nan;281.85;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;nan;0.8;nan;710.0;1104.0;3100.0;nan;1.0;6.0;990.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101210000;101620.0;230.0;2.0;280.0;3.1;277.15;274.55;83.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100700.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.2;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101210000;101520.0;250.0;2.0;250.0;2.6;275.85;274.05;88.0;20000.0;2.0;1.0;1.0;0.0;nan;nan;nan;nan;nan;100930.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1104.0;3100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102000000;101850.0;230.0;1.0;290.0;3.6;277.95;275.35;83.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100930.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.2;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102000000;101700.0;190.0;1.0;240.0;3.6;277.55;275.05;84.0;20000.0;2.0;1.0;1.0;90.0;7.0;1250.0;35.0;61.0;60.0;101120.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1104.0;3100.0;nan;7.0;6.0;1380.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102030000;102050.0;200.0;3.0;280.0;3.1;279.15;276.95;86.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;101130.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130102030000;101930.0;230.0;3.0;270.0;3.6;278.15;275.85;85.0;15000.0;0.0;nan;nan;100.0;7.0;1250.0;35.0;61.0;60.0;101350.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1106.0;3100.0;nan;7.0;6.0;1410.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130102060000;102270.0;220.0;3.0;290.0;2.6;279.55;277.85;89.0;30000.0;2.0;1.0;1.0;90.0;7.0;800.0;35.0;61.0;60.0;101350.0;nan;nan;nan;277.05;nan;279.75;nan;275.15;nan;nan;nan;5.1;-10.0;2.0;0.0;nan;nan;0.0;0.0;nan;0.0;0.0;710.0;1105.0;nan;nan;7.0;6.0;900.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
