numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region;code_insee_region;consommation_brute_electricite_rte;consommation_brute_gaz_grtgaz;consommation_brute_gaz_terega;consommation_brute_gaz_totale;consommation_brute_totale;date;heure;statut_grtgaz;statut_rte;statut_terega
07168;20130101000000;100930.0;-130.0;6.0;180.0;5.1;279.85;276.05;77.0;20000.0;0.0;nan;nan;100.0;nan;2250.0;nan;nan;nan;99490.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TROYES-BARBEREY;48.324667;4.02;112.0;Grand Est;44;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07181;20130101000000;101060.0;-170.0;7.0;180.0;5.7;278.25;273.85;73.0;60000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;96920.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;NANCY-OCHEY;48.581;5.959833;336.0;Grand Est;44;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07190;20130101000000;101160.0;-190.0;6.0;180.0;4.6;278.15;274.05;75.0;45000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;99310.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;STRASBOURG-ENTZHEIM;48.5495;7.640333;150.0;Grand Est;44;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07207;20130101000000;100760.0;110.0;3.0;290.0;4.6;284.35;282.75;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;nan;nan;0.0;2.0;5.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BELLE ILE-LE TALUT;47.294333;-3.218333;34.0;Bretagne;53;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07222;20130101000000;100660.0;10.0;3.0;240.0;2.1;282.95;282.65;98.0;12000.0;61.0;6.0;6.0;90.0;7.0;800.0;35.0;61.0;60.0;100350.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;nan;nan;nan;0.6;7.0;12.0;nan;nan;710.0;1105.0;nan;nan;3.0;6.0;720.0;4.0;6.0;1380.0;7.0;6.0;2100.0;nan;nan;nan;;NANTES-BOUGUENAIS;47.15;-1.608833;26.0;Pays de la Loire;52;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07240;20130101000000;100770.0;-140.0;8.0;190.0;5.7;281.15;280.05;93.0;6000.0;61.0;6.0;2.0;90.0;7.0;250.0;35.0;61.0;60.0;99420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;0.0;-60.0;3.0;6.0;6.0;nan;nan;710.0;1110.0;3100.0;nan;7.0;6.0;240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TOURS;47.4445;0.727333;108.0;Centre-Val de Loire;24;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07255;20130101000000;101060.0;-120.0;6.0;210.0;3.6;280.75;278.25;84.0;19000.0;60.0;nan;nan;100.0;nan;1250.0;nan;nan;nan;99050.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;nan;nan;0.4;0.4;0.4;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BOURGES;47.059167;2.359833;161.0;Centre-Val de Loire;24;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07299;20130101000000;101390.0;-170.0;6.0;200.0;2.1;273.95;271.85;86.0;40000.0;2.0;1.0;1.0;40.0;0.0;nan;30.0;20.0;11.0;98020.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1106.0;3100.0;nan;3.0;0.0;7800.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BALE-MULHOUSE;47.614333;7.51;263.0;Grand Est;44;nan;nan;nan;nan;nan;2013-01-01;00:00;nan;nan;nan
07314;20130101000000;100900.0;20.0;3.0;270.0;9.8;285.35;283.45;88.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100620.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;22.6;-10.0;nan;nan;nan;nan;0.0;1.0;4.0;nan;nan;710.0;1123.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;PTE DE CHASSIRON;46.046833;-1.4115;11.0;Nouvelle-Aquitaine;75;nan;nan;1775.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07335;20130101000000;100870.0;-170.0;8.0;180.0;8.7;280.95;279.75;92.0;10000.0;63.0;nan;nan;100.0;nan;450.0;nan;nan;nan;99420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;-10.0;nan;nan;nan;nan;1.0;2.0;2.0;nan;nan;710.0;1116.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;POITIERS-BIARD;46.593833;0.314333;123.0;Nouvelle-Aquitaine;75;nan;nan;1775.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07434;20130101000000;101270.0;-100.0;7.0;180.0;8.2;279.35;276.35;81.0;45000.0;61.0;nan;nan;100.0;nan;450.0;nan;nan;nan;96440.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;13.9;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1114.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LIMOGES-BELLEGARDE;45.861167;1.175;402.0;Nouvelle-Aquitaine;75;nan;nan;1775.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07510;20130101000000;101300.0;-40.0;6.0;190.0;5.1;281.75;281.35;97.0;nan;61.0;nan;nan;100.0;7.0;250.0;37.0;61.0;60.0;100720.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;nan;nan;nan;1.0;2.0;2.0;nan;nan;710.0;1109.0;nan;nan;7.0;7.0;210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BORDEAUX-MERIGNAC;44.830667;-0.691333;47.0;Nouvelle-Aquitaine;75;nan;nan;1775.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07535;20130101000000;101500.0;-10.0;7.0;160.0;3.6;280.95;277.15;77.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;98350.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;nan;nan;0.2;0.2;0.2;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;GOURDON;44.745;1.396667;260.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07558;20130101000000;101590.0;-110.0;6.0;140.0;5.7;278.65;276.15;84.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;93160.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1116.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;MILLAU;44.1185;3.0195;712.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07607;20130101000000;101480.0;-30.0;5.0;140.0;1.0;280.95;279.55;91.0;11000.0;61.0;nan;nan;100.0;nan;1250.0;nan;nan;nan;100760.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;nan;nan;nan;0.6;2.0;2.0;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;MONT-DE-MARSAN;43.909833;-0.500167;59.0;Nouvelle-Aquitaine;75;nan;nan;1775.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07621;20130101000000;101590.0;80.0;0.0;190.0;1.5;278.95;277.25;89.0;20000.0;61.0;nan;nan;100.0;nan;1750.0;nan;nan;nan;97200.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2.6;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1103.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TARBES-OSSUN;43.188;0.0;360.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07627;20130101000000;101670.0;90.0;1.0;0.0;0.0;275.05;273.45;89.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;96650.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2.1;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1102.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ST GIRONS;43.005333;1.106833;414.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07630;20130101000000;101550.0;40.0;2.0;170.0;2.6;281.85;279.25;84.0;35000.0;0.0;nan;nan;100.0;nan;450.0;nan;nan;nan;99730.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TOULOUSE-BLAGNAC;43.621;1.378833;151.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07643;20130101000000;101710.0;-140.0;8.0;50.0;4.6;281.15;279.65;90.0;22000.0;0.0;nan;nan;100.0;nan;800.0;nan;nan;nan;101610.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.2;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;MONTPELLIER;43.577;3.963167;2.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07747;20130101000000;101380.0;-130.0;6.0;260.0;2.1;278.05;277.05;93.0;40000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100840.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.1;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1104.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;PERPIGNAN;42.737167;2.872833;42.0;Occitanie;76;nan;nan;1945.0;nan;nan;2013-01-01;00:00;nan;nan;Définitif
07005;20130101030000;100230.0;-60.0;6.0;200.0;4.1;281.35;280.75;96.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;99340.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;nan;nan;0.0;0.8;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5430.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07015;20130101030000;100210.0;-60.0;6.0;210.0;6.7;281.25;280.15;93.0;30000.0;21.0;nan;nan;100.0;8.0;450.0;35.0;61.0;60.0;99640.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;0.0;-30.0;0.2;1.0;nan;nan;nan;710.0;1110.0;3100.0;nan;5.0;6.0;330.0;8.0;6.0;570.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5430.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07020;20130101030000;100580.0;220.0;3.0;310.0;9.3;282.85;278.45;74.0;12000.0;1.0;6.0;2.0;60.0;5.0;800.0;38.0;20.0;10.0;100310.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.3;-10.0;nan;nan;nan;nan;0.0;0.4;nan;nan;nan;710.0;1112.0;nan;nan;2.0;8.0;600.0;5.0;6.0;990.0;nan;nan;nan;nan;nan;nan;;PTE DE LA HAGUE;49.725167;-1.939833;6.0;Normandie;28;3250.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07027;20130101030000;100470.0;100.0;3.0;250.0;5.1;282.25;280.85;91.0;17000.0;0.0;nan;nan;90.0;nan;450.0;nan;nan;nan;99660.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;CAEN-CARPIQUET;49.18;-0.456167;67.0;Normandie;28;3250.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07037;20130101030000;100400.0;-40.0;5.0;230.0;4.6;280.85;280.05;95.0;60000.0;0.0;nan;nan;100.0;nan;250.0;nan;nan;nan;98570.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;nan;nan;nan;0.0;1.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ROUEN-BOOS;49.383;1.181667;151.0;Normandie;28;3250.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07072;20130101030000;100600.0;-160.0;8.0;190.0;4.6;279.85;278.35;90.0;18000.0;61.0;nan;nan;100.0;nan;450.0;nan;nan;nan;99450.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;0.0;nan;nan;0.4;1.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;REIMS-PRUNAY;49.209667;4.155333;95.0;Grand Est;44;4712.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07110;20130101030000;100920.0;260.0;3.0;280.0;4.1;280.45;278.25;86.0;25000.0;1.0;8.0;6.0;75.0;6.0;800.0;38.0;20.0;10.0;99760.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;nan;nan;nan;0.0;0.2;nan;nan;nan;710.0;1109.0;nan;nan;3.0;8.0;840.0;5.0;6.0;1440.0;nan;nan;nan;nan;nan;nan;;BREST-GUIPAVAS;48.444167;-4.412;94.0;Bretagne;53;2655.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07117;20130101030000;100750.0;250.0;3.0;290.0;6.7;281.95;279.05;82.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100050.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.3;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1112.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;PLOUMANAC'H;48.825833;-3.473167;55.0;Bretagne;53;2655.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07130;20130101030000;100730.0;160.0;3.0;260.0;2.1;280.95;280.15;95.0;19000.0;0.0;nan;nan;nan;nan;1250.0;nan;nan;nan;100210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;RENNES-ST JACQUES;48.068833;-1.734;36.0;Bretagne;53;2655.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07139;20130101030000;100580.0;90.0;3.0;240.0;3.1;281.85;281.05;95.0;20000.0;0.0;nan;nan;100.0;nan;450.0;nan;nan;nan;98850.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;nan;nan;nan;0.0;0.8;nan;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ALENCON;48.4455;0.110167;143.0;Normandie;28;3250.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07168;20130101030000;100790.0;-130.0;8.0;180.0;7.7;279.65;277.95;89.0;14000.0;61.0;nan;nan;100.0;nan;800.0;nan;nan;nan;99360.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;0.0;nan;nan;1.0;2.0;nan;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TROYES-BARBEREY;48.324667;4.02;112.0;Grand Est;44;4712.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07181;20130101030000;100930.0;-110.0;7.0;200.0;4.6;279.45;273.15;64.0;60000.0;0.0;nan;nan;100.0;nan;1250.0;nan;nan;nan;96810.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.2;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;NANCY-OCHEY;48.581;5.959833;336.0;Grand Est;44;4712.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07190;20130101030000;101040.0;-110.0;6.0;160.0;4.1;278.65;273.85;71.0;35000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;99200.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;STRASBOURG-ENTZHEIM;48.5495;7.640333;150.0;Grand Est;44;4712.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07207;20130101030000;100940.0;180.0;3.0;280.0;6.2;284.35;282.65;89.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;13.9;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1114.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BELLE ILE-LE TALUT;47.294333;-3.218333;34.0;Bretagne;53;2655.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07222;20130101030000;100850.0;190.0;3.0;260.0;3.6;282.55;282.45;99.0;8000.0;0.0;nan;nan;nan;nan;250.0;nan;nan;nan;100540.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;0.0;nan;nan;0.0;0.2;nan;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;NANTES-BOUGUENAIS;47.15;-1.608833;26.0;Pays de la Loire;52;2949.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07240;20130101030000;100710.0;-60.0;6.0;200.0;3.1;281.25;280.45;95.0;12000.0;21.0;nan;nan;90.0;7.0;450.0;35.0;61.0;60.0;99360.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.2;-10.0;nan;nan;0.0;-30.0;0.4;5.0;nan;nan;nan;710.0;1106.0;3100.0;nan;7.0;6.0;300.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;TOURS;47.4445;0.727333;108.0;Centre-Val de Loire;24;2349.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
07255;20130101030000;100850.0;-200.0;6.0;210.0;6.2;281.35;278.45;82.0;20000.0;61.0;nan;nan;100.0;nan;800.0;nan;nan;nan;98850.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;nan;nan;0.4;0.6;nan;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;BOURGES;47.059167;2.359833;161.0;Centre-Val de Loire;24;2349.0;nan;nan;nan;nan;2013-01-01;03:00;nan;Définitif;nan
